Rank,State,State_Code,Region,Average_AQI,Max_AQI,Observation_Count,AQI_Category,Start_Date,End_Date,Average_PM2.5,Average_PM10,Average_NO2,Average_SO2,Average_CO,Average_O3
41,Washington,WA,West,46.17,54,12,Good,2024-01-15,2024-12-15,13.73,21.59,9.21,4.09,0.57,12.42
42,North Dakota,ND,Midwest,45.17,53,12,Good,2024-01-15,2024-12-15,13.45,20.07,9.03,3.61,0.56,12.18
43,Montana,MT,West,44.17,52,12,Good,2024-01-15,2024-12-15,13.17,19.65,8.85,3.93,0.55,11.94
44,South Dakota,SD,Midwest,43.17,51,12,Good,2024-01-15,2024-12-15,12.89,18.13,8.67,3.85,0.53,11.7
45,New Hampshire,NH,Northeast,43.17,51,12,Good,2024-01-15,2024-12-15,12.89,18.13,8.67,3.85,0.53,11.7
46,Wyoming,WY,West,42.17,50,12,Good,2024-01-15,2024-12-15,12.61,18.81,8.49,3.77,0.52,11.46
47,Alaska,AK,West,40.17,48,12,Good,2024-01-15,2024-12-15,12.05,17.97,8.13,3.61,0.5,10.98
48,Maine,ME,Northeast,39.17,47,12,Good,2024-01-15,2024-12-15,11.77,18.65,7.95,3.13,0.49,10.74
49,Vermont,VT,Northeast,37.17,45,12,Good,2024-01-15,2024-12-15,11.21,15.61,7.59,3.77,0.46,10.26
50,Hawaii,HI,West,34.17,42,12,Good,2024-01-15,2024-12-15,10.37,16.55,7.05,3.13,0.42,9.54
