State,City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Arizona,Phoenix,2024-08-15,98,29.04,43.36,17.64,8.64,1.18,25.62
Arizona,Phoenix,2024-09-15,93,26.04,41.26,17.34,8.24,1.15,25.12
Arizona,Phoenix,2024-10-15,91,26.28,40.42,17.58,8.08,1.09,21.84
Arizona,Phoenix,2024-11-15,89,26.52,39.58,17.82,7.92,1.1,22.06
Arizona,Phoenix,2024-12-15,87,24.36,38.74,15.66,7.76,1.04,22.28
Arkansas,Little Rock,2024-01-15,68,19.84,31.86,12.84,5.44,0.85,17.02
Arkansas,Little Rock,2024-02-15,66,20.08,31.02,13.08,5.28,0.79,17.24
Arkansas,Little Rock,2024-03-15,70,19.6,32.7,14.4,5.6,0.87,18.9
Arkansas,Little Rock,2024-04-15,72,20.96,33.54,12.96,5.76,0.86,20.08
Arkansas,Little Rock,2024-05-15,74,22.32,34.38,13.92,5.92,0.92,17.76
Arkansas,Little Rock,2024-06-15,77,21.56,35.64,15.06,6.16,0.92,19.18
Arkansas,Little Rock,2024-07-15,79,22.92,36.48,16.02,6.32,0.98,20.36
Arkansas,Little Rock,2024-08-15,76,22.88,35.22,13.68,6.08,0.91,20.34
Arkansas,Little Rock,2024-09-15,71,19.88,33.12,13.38,5.68,0.88,19.84
Arkansas,Little Rock,2024-10-15,69,20.12,32.28,13.62,5.52,0.83,16.56
Arkansas,Little Rock,2024-11-15,67,20.36,31.44,13.86,5.36,0.83,16.78
Arkansas,Little Rock,2024-12-15,65,18.2,30.6,11.7,5.2,0.78,17.0
California,Los Angeles,2024-01-15,110,31.6,46.2,20.4,9.2,1.35,27.1
California,Los Angeles,2024-02-15,108,31.84,45.36,20.64,9.04,1.3,27.32
California,Los Angeles,2024-03-15,112,31.36,47.04,21.96,9.36,1.37,28.98
California,Los Angeles,2024-04-15,114,32.72,47.88,20.52,9.52,1.37,30.16
California,Los Angeles,2024-05-15,116,34.08,48.72,21.48,9.68,1.42,27.84
California,Los Angeles,2024-06-15,119,33.32,49.98,22.62,9.92,1.43,29.26
California,Los Angeles,2024-07-15,121,34.68,50.82,23.58,10.08,1.48,30.44
California,Los Angeles,2024-08-15,118,34.64,49.56,21.24,9.84,1.42,30.42
California,Los Angeles,2024-09-15,113,31.64,47.46,20.94,9.44,1.39,29.92
California,Los Angeles,2024-10-15,111,31.88,46.62,21.18,9.28,1.33,26.64
California,Los Angeles,2024-11-15,109,32.12,45.78,21.42,9.12,1.34,26.86
California,Los Angeles,2024-12-15,107,29.96,44.94,19.26,8.96,1.28,27.08
Colorado,Denver,2024-01-15,61,17.88,26.72,11.58,5.68,0.76,15.34
Colorado,Denver,2024-02-15,59,18.12,25.88,11.82,5.52,0.71,15.56
Colorado,Denver,2024-03-15,63,17.64,27.56,13.14,5.84,0.79,17.22
Colorado,Denver,2024-04-15,65,19.0,28.4,11.7,6.0,0.78,18.4
Colorado,Denver,2024-05-15,67,20.36,29.24,12.66,6.16,0.83,16.08
Colorado,Denver,2024-06-15,70,19.6,30.5,13.8,6.4,0.84,17.5
Colorado,Denver,2024-07-15,72,20.96,31.34,14.76,6.56,0.89,18.68
Colorado,Denver,2024-08-15,69,20.92,30.08,12.42,6.32,0.83,18.66
Colorado,Denver,2024-09-15,64,17.92,27.98,12.12,5.92,0.8,18.16
Colorado,Denver,2024-10-15,62,18.16,27.14,12.36,5.76,0.74,14.88
Colorado,Denver,2024-11-15,60,18.4,26.3,12.6,5.6,0.75,15.1
Colorado,Denver,2024-12-15,58,16.24,25.46,10.44,5.44,0.7,15.32
Connecticut,Hartford,2024-01-15,51,15.08,23.62,9.78,4.08,0.64,12.94
Connecticut,Hartford,2024-02-15,49,15.32,22.78,10.02,3.92,0.59,13.16
Connecticut,Hartford,2024-03-15,53,14.84,24.46,11.34,4.24,0.67,14.82
Connecticut,Hartford,2024-04-15,55,16.2,25.3,9.9,4.4,0.66,16.0
Connecticut,Hartford,2024-05-15,57,17.56,26.14,10.86,4.56,0.71,13.68
Connecticut,Hartford,2024-06-15,60,16.8,27.4,12.0,4.8,0.72,15.1
Connecticut,Hartford,2024-07-15,62,18.16,28.24,12.96,4.96,0.77,16.28
Connecticut,Hartford,2024-08-15,59,18.12,26.98,10.62,4.72,0.71,16.26
Connecticut,Hartford,2024-09-15,54,15.12,24.88,10.32,4.32,0.68,15.76
Connecticut,Hartford,2024-10-15,52,15.36,24.04,10.56,4.16,0.62,12.48
Connecticut,Hartford,2024-11-15,50,15.6,23.2,10.8,4.0,0.63,12.7
Connecticut,Hartford,2024-12-15,48,13.44,22.36,8.64,3.84,0.58,12.92
Delaware,Wilmington,2024-01-15,56,16.48,26.82,10.68,4.88,0.7,14.14
Delaware,Wilmington,2024-02-15,54,16.72,25.98,10.92,4.72,0.65,14.36
Delaware,Wilmington,2024-03-15,58,16.24,27.66,12.24,5.04,0.73,16.02
Delaware,Wilmington,2024-04-15,60,17.6,28.5,10.8,5.2,0.72,17.2
Delaware,Wilmington,2024-05-15,62,18.96,29.34,11.76,5.36,0.77,14.88
Delaware,Wilmington,2024-06-15,65,18.2,30.6,12.9,5.6,0.78,16.3
Delaware,Wilmington,2024-07-15,67,19.56,31.44,13.86,5.76,0.83,17.48
Delaware,Wilmington,2024-08-15,64,19.52,30.18,11.52,5.52,0.77,17.46
Delaware,Wilmington,2024-09-15,59,16.52,28.08,11.22,5.12,0.74,16.96
Delaware,Wilmington,2024-10-15,57,16.76,27.24,11.46,4.96,0.68,13.68
Delaware,Wilmington,2024-11-15,55,17.0,26.4,11.7,4.8,0.69,13.9
Delaware,Wilmington,2024-12-15,53,14.84,25.56,9.54,4.64,0.64,14.12
Florida,Miami,2024-01-15,71,20.68,29.82,13.38,6.48,0.88,17.74
Florida,Miami,2024-02-15,69,20.92,28.98,13.62,6.32,0.83,17.96
Florida,Miami,2024-03-15,73,20.44,30.66,14.94,6.64,0.91,19.62
Florida,Miami,2024-04-15,75,21.8,31.5,13.5,6.8,0.9,20.8
Florida,Miami,2024-05-15,77,23.16,32.34,14.46,6.96,0.95,18.48
Florida,Miami,2024-06-15,80,22.4,33.6,15.6,7.2,0.96,19.9
Florida,Miami,2024-07-15,82,23.76,34.44,16.56,7.36,1.01,21.08
Florida,Miami,2024-08-15,79,23.72,33.18,14.22,7.12,0.95,21.06
Florida,Miami,2024-09-15,74,20.72,31.08,13.92,6.72,0.92,20.56
Florida,Miami,2024-10-15,72,20.96,30.24,14.16,6.56,0.86,17.28
Florida,Miami,2024-11-15,70,21.2,29.4,14.4,6.4,0.87,17.5
Florida,Miami,2024-12-15,68,19.04,28.56,12.24,6.24,0.82,17.72
Georgia,Atlanta,2024-01-15,80,23.2,34.7,15.0,6.4,0.99,19.9
Georgia,Atlanta,2024-02-15,78,23.44,33.86,15.24,6.24,0.94,20.12
Georgia,Atlanta,2024-03-15,82,22.96,35.54,16.56,6.56,1.01,21.78
Georgia,Atlanta,2024-04-15,84,24.32,36.38,15.12,6.72,1.01,22.96
Georgia,Atlanta,2024-05-15,86,25.68,37.22,16.08,6.88,1.06,20.64
Georgia,Atlanta,2024-06-15,89,24.92,38.48,17.22,7.12,1.07,22.06
Georgia,Atlanta,2024-07-15,91,26.28,39.32,18.18,7.28,1.12,23.24
Georgia,Atlanta,2024-08-15,88,26.24,38.06,15.84,7.04,1.06,23.22
Georgia,Atlanta,2024-09-15,83,23.24,35.96,15.54,6.64,1.03,22.72
Georgia,Atlanta,2024-10-15,81,23.48,35.12,15.78,6.48,0.97,19.44
Georgia,Atlanta,2024-11-15,79,23.72,34.28,16.02,6.32,0.98,19.66
Georgia,Atlanta,2024-12-15,77,21.56,33.44,13.86,6.16,0.92,19.88
Hawaii,Honolulu,2024-01-15,31,9.48,15.22,6.18,2.88,0.4,8.14
Hawaii,Honolulu,2024-02-15,29,9.72,14.38,6.42,2.72,0.35,8.36
Hawaii,Honolulu,2024-03-15,33,9.24,16.06,7.74,3.04,0.43,10.02
Hawaii,Honolulu,2024-04-15,35,10.6,16.9,6.3,3.2,0.42,11.2
Hawaii,Honolulu,2024-05-15,37,11.96,17.74,7.26,3.36,0.47,8.88
Hawaii,Honolulu,2024-06-15,40,11.2,19.0,8.4,3.6,0.48,10.3
Hawaii,Honolulu,2024-07-15,42,12.56,19.84,9.36,3.76,0.53,11.48
Hawaii,Honolulu,2024-08-15,39,12.52,18.58,7.02,3.52,0.47,11.46
Hawaii,Honolulu,2024-09-15,34,9.52,16.48,6.72,3.12,0.44,10.96
Hawaii,Honolulu,2024-10-15,32,9.76,15.64,6.96,2.96,0.38,7.68
Hawaii,Honolulu,2024-11-15,30,10.0,14.8,7.2,2.8,0.39,7.9
Hawaii,Honolulu,2024-12-15,28,7.84,13.96,5.04,2.64,0.34,8.12
Idaho,Boise,2024-01-15,46,13.68,22.62,8.88,4.48,0.58,11.74
Idaho,Boise,2024-02-15,44,13.92,21.78,9.12,4.32,0.53,11.96
Idaho,Boise,2024-03-15,48,13.44,23.46,10.44,4.64,0.61,13.62
Idaho,Boise,2024-04-15,50,14.8,24.3,9.0,4.8,0.6,14.8
Idaho,Boise,2024-05-15,52,16.16,25.14,9.96,4.96,0.65,12.48
Idaho,Boise,2024-06-15,55,15.4,26.4,11.1,5.2,0.66,13.9
Idaho,Boise,2024-07-15,57,16.76,27.24,12.06,5.36,0.71,15.08
Idaho,Boise,2024-08-15,54,16.72,25.98,9.72,5.12,0.65,15.06
Idaho,Boise,2024-09-15,49,13.72,23.88,9.42,4.72,0.62,14.56
Idaho,Boise,2024-10-15,47,13.96,23.04,9.66,4.56,0.56,11.28
Idaho,Boise,2024-11-15,45,14.2,22.2,9.9,4.4,0.57,11.5
Idaho,Boise,2024-12-15,43,12.04,21.36,7.74,4.24,0.52,11.72
Illinois,Chicago,2024-01-15,81,23.48,34.02,15.18,6.48,1.0,20.14
Illinois,Chicago,2024-02-15,79,23.72,33.18,15.42,6.32,0.95,20.36
Illinois,Chicago,2024-03-15,83,23.24,34.86,16.74,6.64,1.03,22.02
Illinois,Chicago,2024-04-15,85,24.6,35.7,15.3,6.8,1.02,23.2
Illinois,Chicago,2024-05-15,87,25.96,36.54,16.26,6.96,1.07,20.88
Illinois,Chicago,2024-06-15,90,25.2,37.8,17.4,7.2,1.08,22.3
Illinois,Chicago,2024-07-15,92,26.56,38.64,18.36,7.36,1.13,23.48
Illinois,Chicago,2024-08-15,89,26.52,37.38,16.02,7.12,1.07,23.46
Illinois,Chicago,2024-09-15,84,23.52,35.28,15.72,6.72,1.04,22.96
Illinois,Chicago,2024-10-15,82,23.76,34.44,15.96,6.56,0.98,19.68
Illinois,Chicago,2024-11-15,80,24.0,33.6,16.2,6.4,0.99,19.9
Illinois,Chicago,2024-12-15,78,21.84,32.76,14.04,6.24,0.94,20.12
Indiana,Indianapolis,2024-01-15,77,22.36,33.44,14.46,6.56,0.95,19.18
Indiana,Indianapolis,2024-02-15,75,22.6,32.6,14.7,6.4,0.9,19.4
Indiana,Indianapolis,2024-03-15,79,22.12,34.28,16.02,6.72,0.98,21.06
Indiana,Indianapolis,2024-04-15,81,23.48,35.12,14.58,6.88,0.97,22.24
Indiana,Indianapolis,2024-05-15,83,24.84,35.96,15.54,7.04,1.03,19.92
Indiana,Indianapolis,2024-06-15,86,24.08,37.22,16.68,7.28,1.03,21.34
Indiana,Indianapolis,2024-07-15,88,25.44,38.06,17.64,7.44,1.09,22.52
Indiana,Indianapolis,2024-08-15,85,25.4,36.8,15.3,7.2,1.02,22.5
Indiana,Indianapolis,2024-09-15,80,22.4,34.7,15.0,6.8,0.99,22.0
Indiana,Indianapolis,2024-10-15,78,22.64,33.86,15.24,6.64,0.94,18.72
Indiana,Indianapolis,2024-11-15,76,22.88,33.02,15.48,6.48,0.94,18.94
Indiana,Indianapolis,2024-12-15,74,20.72,32.18,13.32,6.32,0.89,19.16
Iowa,Des Moines,2024-01-15,55,16.2,25.3,10.5,5.2,0.69,13.9
Iowa,Des Moines,2024-02-15,53,16.44,24.46,10.74,5.04,0.64,14.12
Iowa,Des Moines,2024-03-15,57,15.96,26.14,12.06,5.36,0.71,15.78
Iowa,Des Moines,2024-04-15,59,17.32,26.98,10.62,5.52,0.71,16.96
Iowa,Des Moines,2024-05-15,61,18.68,27.82,11.58,5.68,0.76,14.64
Iowa,Des Moines,2024-06-15,64,17.92,29.08,12.72,5.92,0.77,16.06
Iowa,Des Moines,2024-07-15,66,19.28,29.92,13.68,6.08,0.82,17.24
Iowa,Des Moines,2024-08-15,63,19.24,28.66,11.34,5.84,0.76,17.22
Iowa,Des Moines,2024-09-15,58,16.24,26.56,11.04,5.44,0.73,16.72
Iowa,Des Moines,2024-10-15,56,16.48,25.72,11.28,5.28,0.67,13.44
Iowa,Des Moines,2024-11-15,54,16.72,24.88,11.52,5.12,0.68,13.66
Iowa,Des Moines,2024-12-15,52,14.56,24.04,9.36,4.96,0.62,13.88
Kansas,Wichita,2024-01-15,60,17.6,28.5,11.4,4.8,0.75,15.1
Kansas,Wichita,2024-02-15,58,17.84,27.66,11.64,4.64,0.7,15.32
Kansas,Wichita,2024-03-15,62,17.36,29.34,12.96,4.96,0.77,16.98
Kansas,Wichita,2024-04-15,64,18.72,30.18,11.52,5.12,0.77,18.16
Kansas,Wichita,2024-05-15,66,20.08,31.02,12.48,5.28,0.82,15.84
Kansas,Wichita,2024-06-15,69,19.32,32.28,13.62,5.52,0.83,17.26
Kansas,Wichita,2024-07-15,71,20.68,33.12,14.58,5.68,0.88,18.44
Kansas,Wichita,2024-08-15,68,20.64,31.86,12.24,5.44,0.82,18.42
Kansas,Wichita,2024-09-15,63,17.64,29.76,11.94,5.04,0.79,17.92
Kansas,Wichita,2024-10-15,61,17.88,28.92,12.18,4.88,0.73,14.64
Kansas,Wichita,2024-11-15,59,18.12,28.08,12.42,4.72,0.74,14.86
Kansas,Wichita,2024-12-15,57,15.96,27.24,10.26,4.56,0.68,15.08
Kentucky,Louisville,2024-01-15,72,20.96,30.24,13.56,6.16,0.89,17.98
Kentucky,Louisville,2024-02-15,70,21.2,29.4,13.8,6.0,0.84,18.2
Kentucky,Louisville,2024-03-15,74,20.72,31.08,15.12,6.32,0.92,19.86
Kentucky,Louisville,2024-04-15,76,22.08,31.92,13.68,6.48,0.91,21.04
Kentucky,Louisville,2024-05-15,78,23.44,32.76,14.64,6.64,0.97,18.72
Kentucky,Louisville,2024-06-15,81,22.68,34.02,15.78,6.88,0.97,20.14
Kentucky,Louisville,2024-07-15,83,24.04,34.86,16.74,7.04,1.03,21.32
Kentucky,Louisville,2024-08-15,80,24.0,33.6,14.4,6.8,0.96,21.3
Kentucky,Louisville,2024-09-15,75,21.0,31.5,14.1,6.4,0.93,20.8
Kentucky,Louisville,2024-10-15,73,21.24,30.66,14.34,6.24,0.88,17.52
Kentucky,Louisville,2024-11-15,71,21.48,29.82,14.58,6.08,0.88,17.74
Kentucky,Louisville,2024-12-15,69,19.32,28.98,12.42,5.92,0.83,17.96
Louisiana,Baton Rouge,2024-01-15,85,24.6,36.8,15.9,7.6,1.05,21.1
Louisiana,Baton Rouge,2024-02-15,83,24.84,35.96,16.14,7.44,1.0,21.32
Louisiana,Baton Rouge,2024-03-15,87,24.36,37.64,17.46,7.76,1.07,22.98
Louisiana,Baton Rouge,2024-04-15,89,25.72,38.48,16.02,7.92,1.07,24.16
Louisiana,Baton Rouge,2024-05-15,91,27.08,39.32,16.98,8.08,1.12,21.84
Louisiana,Baton Rouge,2024-06-15,94,26.32,40.58,18.12,8.32,1.13,23.26
Louisiana,Baton Rouge,2024-07-15,96,27.68,41.42,19.08,8.48,1.18,24.44
Louisiana,Baton Rouge,2024-08-15,93,27.64,40.16,16.74,8.24,1.12,24.42
Louisiana,Baton Rouge,2024-09-15,88,24.64,38.06,16.44,7.84,1.09,23.92
Louisiana,Baton Rouge,2024-10-15,86,24.88,37.22,16.68,7.68,1.03,20.64
Louisiana,Baton Rouge,2024-11-15,84,25.12,36.38,16.92,7.52,1.04,20.86
Louisiana,Baton Rouge,2024-12-15,82,22.96,35.54,14.76,7.36,0.98,21.08
Maine,Portland,2024-01-15,36,10.88,17.32,7.08,2.88,0.46,9.34
Maine,Portland,2024-02-15,34,11.12,16.48,7.32,2.72,0.41,9.56
Maine,Portland,2024-03-15,38,10.64,18.16,8.64,3.04,0.49,11.22
Maine,Portland,2024-04-15,40,12.0,19.0,7.2,3.2,0.48,12.4
Maine,Portland,2024-05-15,42,13.36,19.84,8.16,3.36,0.53,10.08
Maine,Portland,2024-06-15,45,12.6,21.1,9.3,3.6,0.54,11.5
Maine,Portland,2024-07-15,47,13.96,21.94,10.26,3.76,0.59,12.68
Maine,Portland,2024-08-15,44,13.92,20.68,7.92,3.52,0.53,12.66
Maine,Portland,2024-09-15,39,10.92,18.58,7.62,3.12,0.5,12.16
Maine,Portland,2024-10-15,37,11.16,17.74,7.86,2.96,0.44,8.88
Maine,Portland,2024-11-15,35,11.4,16.9,8.1,2.8,0.45,9.1
Maine,Portland,2024-12-15,33,9.24,16.06,5.94,2.64,0.4,9.32
Maryland,Baltimore,2024-01-15,67,19.56,31.44,12.66,5.76,0.83,16.78
Maryland,Baltimore,2024-02-15,65,19.8,30.6,12.9,5.6,0.78,17.0
Maryland,Baltimore,2024-03-15,69,19.32,32.28,14.22,5.92,0.86,18.66
Maryland,Baltimore,2024-04-15,71,20.68,33.12,12.78,6.08,0.85,19.84
Maryland,Baltimore,2024-05-15,73,22.04,33.96,13.74,6.24,0.91,17.52
Maryland,Baltimore,2024-06-15,76,21.28,35.22,14.88,6.48,0.91,18.94
Maryland,Baltimore,2024-07-15,78,22.64,36.06,15.84,6.64,0.97,20.12
Maryland,Baltimore,2024-08-15,75,22.6,34.8,13.5,6.4,0.9,20.1
Maryland,Baltimore,2024-09-15,70,19.6,32.7,13.2,6.0,0.87,19.6
Maryland,Baltimore,2024-10-15,68,19.84,31.86,13.44,5.84,0.82,16.32
Maryland,Baltimore,2024-11-15,66,20.08,31.02,13.68,5.68,0.82,16.54
Maryland,Baltimore,2024-12-15,64,17.92,30.18,11.52,5.52,0.77,16.76
Massachusetts,Boston,2024-01-15,49,14.52,20.58,9.42,4.72,0.62,12.46
Massachusetts,Boston,2024-02-15,47,14.76,19.74,9.66,4.56,0.56,12.68
Massachusetts,Boston,2024-03-15,51,14.28,21.42,10.98,4.88,0.64,14.34
Massachusetts,Boston,2024-04-15,53,15.64,22.26,9.54,5.04,0.64,15.52
Massachusetts,Boston,2024-05-15,55,17.0,23.1,10.5,5.2,0.69,13.2
Massachusetts,Boston,2024-06-15,58,16.24,24.36,11.64,5.44,0.7,14.62
Massachusetts,Boston,2024-07-15,60,17.6,25.2,12.6,5.6,0.75,15.8
Massachusetts,Boston,2024-08-15,57,17.56,23.94,10.26,5.36,0.68,15.78
Massachusetts,Boston,2024-09-15,52,14.56,21.84,9.96,4.96,0.65,15.28
Massachusetts,Boston,2024-10-15,50,14.8,21.0,10.2,4.8,0.6,12.0
Massachusetts,Boston,2024-11-15,48,15.04,20.16,10.44,4.64,0.61,12.22
Massachusetts,Boston,2024-12-15,46,12.88,19.32,8.28,4.48,0.55,12.44
Michigan,Detroit,2024-01-15,68,19.84,29.66,12.84,5.44,0.85,17.02
Michigan,Detroit,2024-02-15,66,20.08,28.82,13.08,5.28,0.79,17.24
Michigan,Detroit,2024-03-15,70,19.6,30.5,14.4,5.6,0.87,18.9
Michigan,Detroit,2024-04-15,72,20.96,31.34,12.96,5.76,0.86,20.08
Michigan,Detroit,2024-05-15,74,22.32,32.18,13.92,5.92,0.92,17.76
Michigan,Detroit,2024-06-15,77,21.56,33.44,15.06,6.16,0.92,19.18
Michigan,Detroit,2024-07-15,79,22.92,34.28,16.02,6.32,0.98,20.36
Michigan,Detroit,2024-08-15,76,22.88,33.02,13.68,6.08,0.91,20.34
Michigan,Detroit,2024-09-15,71,19.88,30.92,13.38,5.68,0.88,19.84
Michigan,Detroit,2024-10-15,69,20.12,30.08,13.62,5.52,0.83,16.56
Michigan,Detroit,2024-11-15,67,20.36,29.24,13.86,5.36,0.83,16.78
Michigan,Detroit,2024-12-15,65,18.2,28.4,11.7,5.2,0.78,17.0
Minnesota,Minneapolis,2024-01-15,49,14.52,22.78,9.42,4.32,0.62,12.46
Minnesota,Minneapolis,2024-02-15,47,14.76,21.94,9.66,4.16,0.56,12.68
Minnesota,Minneapolis,2024-03-15,51,14.28,23.62,10.98,4.48,0.64,14.34
Minnesota,Minneapolis,2024-04-15,53,15.64,24.46,9.54,4.64,0.64,15.52
Minnesota,Minneapolis,2024-05-15,55,17.0,25.3,10.5,4.8,0.69,13.2
Minnesota,Minneapolis,2024-06-15,58,16.24,26.56,11.64,5.04,0.7,14.62
Minnesota,Minneapolis,2024-07-15,60,17.6,27.4,12.6,5.2,0.75,15.8
Minnesota,Minneapolis,2024-08-15,57,17.56,26.14,10.26,4.96,0.68,15.78
Minnesota,Minneapolis,2024-09-15,52,14.56,24.04,9.96,4.56,0.65,15.28
Minnesota,Minneapolis,2024-10-15,50,14.8,23.2,10.2,4.4,0.6,12.0
Minnesota,Minneapolis,2024-11-15,48,15.04,22.36,10.44,4.24,0.61,12.22
Minnesota,Minneapolis,2024-12-15,46,12.88,21.52,8.28,4.08,0.55,12.44
Mississippi,Jackson,2024-01-15,76,22.08,35.22,14.28,6.88,0.94,18.94
Mississippi,Jackson,2024-02-15,74,22.32,34.38,14.52,6.72,0.89,19.16
Mississippi,Jackson,2024-03-15,78,21.84,36.06,15.84,7.04,0.97,20.82
Mississippi,Jackson,2024-04-15,80,23.2,36.9,14.4,7.2,0.96,22.0
Mississippi,Jackson,2024-05-15,82,24.56,37.74,15.36,7.36,1.01,19.68
Mississippi,Jackson,2024-06-15,85,23.8,39.0,16.5,7.6,1.02,21.1
Mississippi,Jackson,2024-07-15,87,25.16,39.84,17.46,7.76,1.07,22.28
Mississippi,Jackson,2024-08-15,84,25.12,38.58,15.12,7.52,1.01,22.26
Mississippi,Jackson,2024-09-15,79,22.12,36.48,14.82,7.12,0.98,21.76
Mississippi,Jackson,2024-10-15,77,22.36,35.64,15.06,6.96,0.92,18.48
Mississippi,Jackson,2024-11-15,75,22.6,34.8,15.3,6.8,0.93,18.7
Mississippi,Jackson,2024-12-15,73,20.44,33.96,13.14,6.64,0.88,18.92
Missouri,St. Louis,2024-01-15,79,22.92,33.18,14.82,6.32,0.98,19.66
Missouri,St. Louis,2024-02-15,77,23.16,32.34,15.06,6.16,0.92,19.88
Missouri,St. Louis,2024-03-15,81,22.68,34.02,16.38,6.48,1.0,21.54
Missouri,St. Louis,2024-04-15,83,24.04,34.86,14.94,6.64,1.0,22.72
Missouri,St. Louis,2024-05-15,85,25.4,35.7,15.9,6.8,1.05,20.4
Missouri,St. Louis,2024-06-15,88,24.64,36.96,17.04,7.04,1.06,21.82
Missouri,St. Louis,2024-07-15,90,26.0,37.8,18.0,7.2,1.11,23.0
Missouri,St. Louis,2024-08-15,87,25.96,36.54,15.66,6.96,1.04,22.98
Missouri,St. Louis,2024-09-15,82,22.96,34.44,15.36,6.56,1.01,22.48
Missouri,St. Louis,2024-10-15,80,23.2,33.6,15.6,6.4,0.96,19.2
Missouri,St. Louis,2024-11-15,78,23.44,32.76,15.84,6.24,0.97,19.42
Missouri,St. Louis,2024-12-15,76,21.28,31.92,13.68,6.08,0.91,19.64
Montana,Billings,2024-01-15,41,12.28,18.32,7.98,3.68,0.52,10.54
Montana,Billings,2024-02-15,39,12.52,17.48,8.22,3.52,0.47,10.76
Montana,Billings,2024-03-15,43,12.04,19.16,9.54,3.84,0.55,12.42
Montana,Billings,2024-04-15,45,13.4,20.0,8.1,4.0,0.54,13.6
Montana,Billings,2024-05-15,47,14.76,20.84,9.06,4.16,0.59,11.28
Montana,Billings,2024-06-15,50,14.0,22.1,10.2,4.4,0.6,12.7
Montana,Billings,2024-07-15,52,15.36,22.94,11.16,4.56,0.65,13.88
Montana,Billings,2024-08-15,49,15.32,21.68,8.82,4.32,0.59,13.86
Montana,Billings,2024-09-15,44,12.32,19.58,8.52,3.92,0.56,13.36
Montana,Billings,2024-10-15,42,12.56,18.74,8.76,3.76,0.5,10.08
Montana,Billings,2024-11-15,40,12.8,17.9,9.0,3.6,0.51,10.3
Montana,Billings,2024-12-15,38,10.64,17.06,6.84,3.44,0.46,10.52
Nebraska,Omaha,2024-01-15,53,15.64,24.46,10.14,5.04,0.67,13.42
Nebraska,Omaha,2024-02-15,51,15.88,23.62,10.38,4.88,0.61,13.64
Nebraska,Omaha,2024-03-15,55,15.4,25.3,11.7,5.2,0.69,15.3
Nebraska,Omaha,2024-04-15,57,16.76,26.14,10.26,5.36,0.68,16.48
Nebraska,Omaha,2024-05-15,59,18.12,26.98,11.22,5.52,0.74,14.16
Nebraska,Omaha,2024-06-15,62,17.36,28.24,12.36,5.76,0.74,15.58
Nebraska,Omaha,2024-07-15,64,18.72,29.08,13.32,5.92,0.8,16.76
